question,answer
die,les
und,et
der,les
in,dans
das,les
den,les
zu,à
mit,avec
ist,est
von,de
für,pour
auf,sur
nicht,Pas
es,il
ein,sur
im,dans le
auch,également
sich,toi même
ich,je
sie,elles ou ils
eine,un
dem,à la
des,de
an,sur
als,comme
werden,devenir
bei,à
sind,sommes
dass,ce
so,alors
oder,ou alors
wie,comment
aus,la fin
wir,conditions météorologiques
aber,mais
wird,sera
nach,à
man,un
er,il
hat,Possède
noch,encore
einen,une
nur,seulement
um,environ
am,au
einer,une
zum,à la
kann,pouvez
einem,une
über,à propos de
war,a été
wenn,si
haben,avoir
durch,par
dann,ensuite
vor,devant
zur,à la
mehr,Suite
was,Quoi
diese,ce
da,là
können,être capable
schon,agréable
sein,étant
bis,jusqu'à
wurde,devenu
hier,ici
sehr,très
wieder,encore
immer,toujours
uns,nous
ihr,sa
mir,tome
mal,juste
ihre,sa
alle,Toutes les personnes
dieser,ce
doch,En effet
habe,avoir
gibt,sommes
vom,du
mich,moi
unter,parmi
du,toi
ja,Oui
keine,non
gut,Bon
damit,afin de
hatte,eu
ganz,assez
beim,au
eines,un
denn,ensuite
muss,aller à
nun,bien
Zeit,Temps
seine,le sien
jetzt,à présent
etwas,certains
gegen,contre
dabei,inclus
also,alors
viel,beaucoup de
diesem,Ce
ab,une façon
viele,lot
zwei,deux
anderen,les autres
ohne,sans pour autant
selbst,même
alles,tout
sowie,comme
Menschen,Gens
waren,étaient
seit,puisque
einfach,Facile
geht,va
Jahr,année
dieses,ce
heute,aujourd'hui
sondern,Alors quoi
neue,Nouveau
wurden,devenu
Jahren,Ans
bereits,déjà
machen,Fabriquer
sollte,devrait
ob,si
weil,car
soll,cibler
ihrer,de leur
ihren,ton
dazu,à
dies,ce
ersten,première
zwischen,entre
ihnen,eux
bin,un m
lassen,laisser
andere,autre
meine,ma
seiner,le sien
Jahre,ans
unsere,notre
leben,Vie
wer,qui
neuen,Nouveau
weiter,davantage
kommt,vient
müssen,devoir
einmal,une fois
wo,Où
dort,là
erst,première
kein,non
natürlich,Naturellement
ihn,lui
diesen,ce
jedoch,pourtant
konnte,pouvait
ihm,lui
würde,voudrais
finden,Trouver
drei,Trois
seinen,le sien
will,vouloir
nichts,Rien
uhr,horloge
macht,Puissance
allem,tous
sei,être
Euro,euro
wirklich,vraiment
ins,dans le
steht,des stands
kommen,venir
daß,ce
gerade,juste
Deutschland,Allemagne
während,tandis que
Tag,Jour
allerdings,En effet
Kinder,enfants
dafür,Donc
wäre,voudrais
welche,Lequel
Ende,La fin
wohl,bien
mein,ma
einige,certains
Weg,chemin
jeder,toutes les personnes
letzten,dernier
sehen,voir
allen,tous
weitere,Davantage
besonders,surtout
zwar,C'est
neben,Prochain
vielen,beaucoup
vielleicht,peut-être
beiden,tous les deux
Welt,monde
ihrem,Le tiens
unternehmen,compagnie
wollen,vouloir
liegt,mensonges
Teil,partie
seinem,le sien
stehen,se tenir debout
bzw.,ou alors.
fast,presque
Stadt,ville
erste,première
euch,à toi
gar,même
sogar,même
geben,donner
deutschen,allemand
möglich,possible
etwa,approximativement
schnell,vite
Seite,côté
großen,énorme
Frage,question
denen,à ceux
eigentlich,réellement
unserer,notre
gehen,marcher
gute,qualité
Arbeit,travailler
recht,Droit
oft,souvent
genau,je suis d'accord
lange,Longue
wenig,peu
leider,Malheureusement
hatten,eu
davon,à partir de ce
Thema,sujet
gemacht,fait
Fall,Cas
eigenen,propre
dir,à toi
könnte,pouvait
unser,notre
große,Taille
zusammen,ensemble
bietet,des offres
besser,mieux
Frau,femme
möchte,voudrais
darauf,à ce sujet
gab,donné
Spiel,Jeu
rund,environ
Art,Gentil
gleich,égal
hätte,eu
Platz,Place de la ville
Prozent,pour cent
Beispiel,Exemple
sicher,sécurise
daher,donc
wissen,à savoir
kleinen,petit
paar,peu
de,de
meiner,mien
kam,venu
findet,trouver
sagen,dire
gerne,volontier
deshalb,pour cette raison
zurück,revenir
jeden,tous
sollten,devrait
statt,à la place de
lässt,feuilles
Liebe,amour
richtig,correct
kleine,petit
stellen,mettre
fragen,interroger
deren,à qui
worden,a été
weiß,blanche
sollen,doit
tun,faire
erhalten,Recevoir
wegen,à cause de
eher,plutôt
weniger,moins
direkt,direct
ebenfalls,également
darüber,à ce sujet
ging,allé
Informationen,information
nie,jamais
Bereich,surface
später,plus tard
ganze,entier
dich,toi
hin,là
warum,Pourquoi
hab,avoir
vier,quatre
nehmen,prendre
sieht,vœux
geschichte,récit
je,déjà
Kunden,les clients
keinen,rien
werde,devenir
aller,tous
kurz,prochainement
Geld,argent
bekommen,pour obtenir
gilt,est applicable
Möglichkeit,opportunité
nächsten,Suivant
deutlich,dégager
außerdem,à part ça
Frauen,femmes
arbeiten,travailler
bleibt,rester
klar,dégager
kaum,à peine
eben,même
meinen,dire
wollte,voulait
Ziel,but
Berlin,Berlin
zeigt,indique
Mann,homme
Buch,un livre
rahmen,Cadre
konnten,pouvait
besten,meilleur
bitte,Je vous en prie
somit,En conséquence
stand,était debout
sagt,dit
Bild,photo
darf,mai
Entwicklung,développement
gehört,entendu
pro,Par
zudem,en outre
wichtig,important
Internet,l'Internet
Wasser,l'eau
spielen,jouer
bieten,Offrir
Tage,Jour
neu,Nouvelle
Woche,la semaine
Minuten,Minute
unseren,Notre
stellt,ensemble
Verfügung,disposition
bisher,jusqu'à maintenant
deutsche,allemand
verschiedenen,différent
Land,de campagne
guten,bon
Ort,lieu
schön,magnifique
gegenüber,l'opposé de
solche,tel
kosten,frais
Form,façonner
weit,loin
weiteren,les autres
Wochen,Hebdomadaire
zweiten,seconde
musste,devait
Haus,une maison
dank,grâce à
eigene,propre
meisten,plus
bleiben,rester
insgesamt,au total
Grund,raison
Problem,problème
besteht,consiste
sagte,mentionné
jede,tous
nachdem,après ça
ebenso,ainsi que
beide,tous les deux
anders,différent
danach,après
Familie,famille
meinem,ma
alten,vieille
bringen,apporter
daran,à cela
Leute,gens
aufgrund,à cause de
Eltern,Parents
gemeinsam,ensemble
sofort,tout de suite
dessen,à qui
halten,garder
nutzen,utiliser
Hand,main
lesen,lis
leicht,facile
anfang,début
jedem,chaque
bekannt,célèbre
Hilfe,Aider
Blick,vue
schließlich,après tout
dadurch,à travers cela
Zukunft,avenir
Namen,Nom
sowohl,Soit
überhaupt,du tout
unserem,les notres
zunächst,Suivant
Stunden,les heures
hinter,Derrière
hast,avoir
heißt,appelé
Stelle,Emploi
finde,trouver
Einsatz,mission
Team,équipe
trotz,malgré
Millionen,des millions
insbesondere,en particulier
gewesen,été
Musik,la musique
endlich,Pour terminer
sonst,autrement
weise,façon
per,par
innerhalb,à l'intérieur
Schule,l'école
fünf,cinq
zeigen,spectacle
fest,fixé
ganzen,tout
führen,mener
führt,pistes
Artikel,éléments
stark,fort
allein,seule
liegen,mensonge
Personen,gens
Mai,Mai
Seiten,pages
oben,au dessus
trotzdem,Néanmoins
Bilder,des photos
meist,la plupart du temps
Film,Film
obwohl,même si
Daten,Données
Erfolg,Succès
würden,voudrais
jedes,chaque
kind,enfant
verschiedene,divers
Probleme,Problèmes
neues,Nouveau
Gott,Dieu
hinaus,en dehors
Abend,Veille
mehrere,nombreuses
damals,à l'époque
Preis,le prix
lernen,apprendre
beispielsweise,par exemple
einzelnen,individuel
Gruppe,grouper
weiterhin,Plus loin
deine,le tiens
nämlich,à savoir
fand,trouvé
zumindest,au moins
Juni,juin
Richtung,direction
gesagt,mentionné
hallo,Bonjour
Gesellschaft,compagnie
mitarbeiter,employés
einigen,se mettre d'accord
lang,longue
schwer,lourd
hoch,haute
Programm,programme
Augen,les yeux
welches,lequel
dennoch,encore
geworden,devenir
Rolle,rôle
wert,valeur
498,
499,
500,
